unique_key,created_date,closed_date,agency,complaint_type,descriptor,borough,status,incident_zip,latitude,longitude
32305562,12/31/2015 10:44:01 PM,01/01/2016 06:50:57 AM,NYPD,Blocked Driveway,No Access,QUEENS,Closed,11355,40.75453298354819,-73.83392759238689
32310156,12/31/2015 10:43:34 PM,12/31/2015 11:05:21 PM,NYPD,Noise - Commercial,Loud Music/Party,BROOKLYN,Closed,11216,40.68186974794423,-73.94937196628798
32307324,12/31/2015 10:43:14 PM,12/31/2015 11:19:39 PM,NYPD,Illegal Parking,Commercial Overnight Parking,QUEENS,Closed,11373,40.74000291773577,-73.86842254611614
32305897,12/31/2015 10:41:48 PM,12/31/2015 11:05:21 PM,NYPD,Noise - Commercial,Banging/Pounding,BROOKLYN,Closed,11216,40.68186974794423,-73.94937196628798
32306646,12/31/2015 10:41:30 PM,12/31/2015 11:17:20 PM,NYPD,Noise - Commercial,Loud Music/Party,MANHATTAN,Closed,10017,40.752466784765815,-73.97026303855291
32305846,12/31/2015 10:40:46 PM,12/31/2015 10:55:33 PM,NYPD,Illegal Parking,Posted Parking Sign Violation,BROOKLYN,Closed,11209,40.63410061166329,-74.03262417565837
32308683,12/31/2015 10:40:16 PM,12/31/2015 11:08:40 PM,NYPD,Illegal Parking,Blocked Hydrant,QUEENS,Closed,11358,40.75918476739081,-73.786885668597
32305085,12/31/2015 10:40:01 PM,12/31/2015 11:21:46 PM,NYPD,Illegal Parking,Blocked Hydrant,QUEENS,Closed,11379,40.71153224007471,-73.89594304802966
32307353,12/31/2015 10:38:47 PM,12/31/2015 11:17:20 PM,NYPD,Noise - Commercial,Loud Music/Party,MANHATTAN,Closed,10017,40.752466784765815,-73.97026303855291
32307159,12/31/2015 10:38:31 PM,01/01/2016 05:01:45 AM,NYPD,Noise - Vehicle,Car/Truck Music,BROOKLYN,Closed,11210,40.63183843627483,-73.9446290467788
32308477,12/31/2015 10:38:15 PM,01/01/2016 02:13:29 AM,NYPD,Blocked Driveway,No Access,QUEENS,Closed,11368,40.74113717984256,-73.8574607353334
32306470,12/31/2015 10:38:04 PM,12/31/2015 11:04:14 PM,NYPD,Animal Abuse,Tortured,QUEENS,Closed,11427,40.72694806689866,-73.74524508865748
32305140,12/31/2015 10:37:41 PM,12/31/2015 10:49:02 PM,NYPD,Noise - Commercial,Loud Music/Party,BROOKLYN,Closed,11205,40.694712086941884,-73.95490489243231
32310626,12/31/2015 10:37:11 PM,12/31/2015 11:15:09 PM,NYPD,Blocked Driveway,Partial Access,QUEENS,Closed,11414,40.66917768808131,-73.85103217056427
32306288,12/31/2015 10:35:34 PM,12/31/2015 10:59:57 PM,NYPD,Blocked Driveway,No Access,QUEENS,Closed,11436,40.671814566325104,-73.79208198082695
32306303,12/31/2015 10:34:10 PM,01/01/2016 04:01:36 AM,NYPD,Blocked Driveway,Partial Access,BRONX,Closed,10457,40.846962300031244,-73.89510590020642
32307030,12/31/2015 10:33:15 PM,12/31/2015 11:17:23 PM,NYPD,Blocked Driveway,No Access,QUEENS,Closed,11368,40.755451573869486,-73.86239672002719
